season_week,QB_points,WR1_points,WR2_points,WR3_points,RB1_points,RB2_points,TE_points,W/R/T_points,DEF_points,BN1_points,BN2_points,BN3_points,BN4_points,BN5_points,BN6_points,BN7_points,W/R/T position,WR_total_points,RB_total_points,TE_total_points,BN_points,manager,win,points_for
Nick|2017|8,30.1,10.8,8.4,0.0,25.9,6.4,12.7,14.2,14.5,0.0,0.0,12.37,2.1,4.5,0.0,0.0,WR,33.400000000000006,32.3,12.7,18.97,Nick,1,135.5
Nick|2017|9,17.47,5.5,20.3,0.0,15.3,8.9,15.0,11.1,13.0,23.4,0.0,0.0,5.1,0.0,0.0,0.0,WR,36.9,24.200000000000003,15.0,28.5,Nick,1,111.57
Nick|2017|10,14.37,12.0,1.3,0.0,9.3,10.8,12.1,4.9,18.0,17.5,0.0,0.0,0.0,6.5,0.0,0.0,RB,13.3,25.0,12.1,24.0,Nick,0,91.27
Nick|2017|11,26.97,11.0,9.1,0.0,16.0,16.8,1.4,15.7,10.5,1.3,10.7,0.0,11.5,0.0,0.0,0.0,WR,35.8,32.8,1.4,23.5,Nick,1,115.47
Nick|2017|12,27.2,3.0,0.0,0.0,4.4,11.8,3.3,13.7,9.5,2.0,6.7,0.0,27.5,3.9,0.0,0.0,WR,16.7,16.200000000000003,3.3,40.1,Nick,0,80.9
Nick|2017|13,16.07,10.9,8.1,0.0,19.3,9.2,19.4,9.6,-1.0,0.0,7.0,0.0,6.0,8.7,0.0,0.0,WR,19.0,28.5,19.4,21.7,Nick,1,100.57
Nick|2017|14,25.37,15.3,13.7,0.0,27.3,9.2,7.4,10.5,5.5,8.6,4.4,0.0,6.3,30.5,0.0,0.0,WR,39.5,36.5,7.4,49.8,Nick,1,122.27
Nick|2017|15,15.37,1.1,12.9,0.0,3.0,14.5,14.1,18.4,22.0,8.1,0.0,10.9,17.4,10.9,0.0,0.0,WR,32.4,17.5,14.1,47.3,Nick,1,120.87
Nick|2017|16,15.43,11.5,0.0,0.0,29.8,13.8,1.7,0.0,11.5,5.8,5.2,9.2,4.7,3.6,0.0,0.0,WR,11.5,43.6,1.7,28.5,Nick,0,88.23
Buddy|2017|1,15.8,3.0,9.6,0.0,16.4,9.7,4.3,10.7,5.5,13.0,0.0,1.3,7.5,0.0,0.0,0.0,WR,23.299999999999997,26.099999999999998,4.3,21.8,Buddy,0,87.5
Buddy|2017|2,13.2,10.7,5.8,0.0,17.3,11.4,20.6,10.0,16.0,9.2,5.4,1.2,4.0,2.2,0.0,0.0,WR,26.5,28.700000000000003,20.6,21.999999999999996,Buddy,1,112.0
Buddy|2017|3,11.7,1.8,17.7,0.0,13.9,3.1,17.9,16.4,5.0,0.0,3.9,22.8,1.7,0.0,0.0,0.0,WR,35.9,17.0,17.9,28.4,Buddy,1,96.5
Buddy|2017|4,6.87,6.4,3.0,0.0,3.4,1.2,10.0,12.4,4.5,7.9,12.4,5.2,2.5,0.0,0.0,0.0,WR,21.8,4.6,10.0,28.0,Buddy,0,54.77
Buddy|2017|5,1.2,4.9,13.1,0.0,31.3,11.8,0.0,13.8,17.0,0.0,4.6,0.0,1.4,10.7,0.0,0.0,WR,31.8,43.1,0.0,16.7,Buddy,1,93.1
Buddy|2017|6,10.27,4.3,11.3,0.0,31.5,6.3,23.3,14.4,9.0,8.9,0.0,4.2,0.0,0.0,0.0,0.0,WR,30.0,37.8,23.3,13.100000000000001,Buddy,1,116.87
Buddy|2017|7,15.47,1.5,8.0,0.0,4.9,0.9,6.6,5.5,21.5,9.8,0.0,3.9,0.0,0.0,0.0,0.0,WR,15.0,5.800000000000001,6.6,13.700000000000001,Buddy,0,70.37
Buddy|2017|8,13.17,11.4,5.2,0.0,20.4,0.0,14.2,3.6,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,20.200000000000003,20.4,14.2,0.0,Buddy,0,87.97
Buddy|2017|9,16.33,0.0,4.3,0.0,19.3,2.9,0.0,15.0,14.5,0.0,0.0,5.6,8.4,9.5,0.0,0.0,WR,19.3,22.2,0.0,23.5,Buddy,0,75.83
Buddy|2017|10,13.17,5.7,19.7,0.0,6.7,12.2,9.4,7.5,11.5,12.3,11.2,0.0,0.0,0.0,0.0,0.0,WR,32.9,18.9,9.4,23.5,Buddy,1,94.37
Buddy|2017|11,15.7,2.5,9.8,0.0,14.0,8.2,5.2,19.8,3.0,0.0,4.4,0.0,0.0,0.0,0.0,0.0,WR,32.1,22.2,5.2,4.4,Buddy,0,92.2
Buddy|2017|12,14.67,0.0,10.0,0.0,10.3,18.5,22.7,4.3,17.5,0.0,0.0,3.5,2.9,8.4,0.0,0.0,RB,10.0,33.1,22.7,14.8,Buddy,1,105.97
Buddy|2017|13,5.87,3.4,7.1,0.0,12.6,19.1,19.2,1.3,17.0,9.1,0.0,0.0,14.7,5.4,0.0,0.0,RB,10.5,33.0,19.2,29.199999999999996,Buddy,0,90.57
Buddy|2017|14,5.37,3.4,1.7,0.0,14.8,12.9,0.8,24.3,22.5,8.4,0.0,0.0,11.3,2.7,0.0,0.0,RB,5.1,52.0,0.8,22.400000000000002,Buddy,1,89.77
Buddy|2017|15,13.97,18.5,25.4,0.0,25.9,10.7,22.3,5.6,8.5,2.3,3.0,11.9,13.9,0.0,0.0,0.0,RB,43.9,42.199999999999996,22.3,31.1,Buddy,1,135.87
Buddy|2017|16,12.3,7.0,8.3,0.0,20.3,8.2,15.2,5.4,10.5,5.8,8.0,10.3,14.0,0.0,0.0,0.0,RB,15.3,33.9,15.2,38.1,Buddy,1,97.2
Kyle|2017|1,17.13,15.0,22.3,0.0,15.2,3.0,0.0,7.9,7.0,9.9,0.0,0.0,2.9,35.0,0.0,0.0,WR,45.199999999999996,18.2,0.0,47.8,Kyle,1,100.03
Kyle|2017|2,11.57,10.8,6.9,0.0,7.4,13.6,4.7,0.9,2.5,7.8,8.9,0.4,2.4,6.0,0.0,0.0,WR,18.6,21.0,4.7,25.499999999999996,Kyle,0,63.37
Kyle|2017|3,18.2,11.1,17.5,0.0,25.4,3.5,2.9,0.0,20.5,0.0,10.0,0.0,3.4,17.5,0.0,0.0,RB,28.6,28.9,2.9,30.9,Kyle,0,101.1
Kyle|2017|4,15.1,21.7,5.0,0.0,11.9,5.9,5.5,8.0,19.5,2.3,0.0,0.0,3.7,0.0,0.0,0.0,WR,34.7,17.8,5.5,6.0,Kyle,1,97.1
Kyle|2017|5,5.87,25.2,14.8,0.0,6.9,4.0,3.9,5.0,37.0,4.2,0.0,0.0,4.5,11.7,0.0,0.0,WR,45.0,10.9,3.9,20.4,Kyle,0,107.67
Kyle|2017|6,12.2,8.9,5.0,0.0,13.0,2.2,11.5,0.0,10.5,0.0,0.0,0.0,0.0,4.7,0.0,0.0,WR,13.9,15.2,11.5,4.7,Kyle,0,68.8
