week,team_name,in_season_manager_id,manager_name,opponent_team_name,in_season_opponent_manager_id,opponent_name,projected_points_for,points_for,projected_points_against,points_against,season,win
3,who invited canada,2,Peter,John Brown's Army,8,Eric,99.52,139.97,101.83,102.6,2015,1
4,who invited canada,2,Peter,The fishingtons,10,Buddy,103.6,89.03,98.85,79.4,2015,1
5,who invited canada,2,Peter,Starr is Born,12,Nick,72.67,108.83,93.18,87.17,2015,1
6,who invited canada,2,Peter,Kurtz' Horror,14,Jones,99.89,132.87,101.05,101.73,2015,1
7,who invited canada,2,Peter,The Ice Cold Bruschi,1,Ricky,100.95,105.87,102.26,96.33,2015,1
8,who invited canada,2,Peter,Kurtz' Horror,14,Jones,102.23,119.23,99.73,95.33,2015,1
9,who invited canada,2,Peter,The Scientist,9,Kyle,110.41,105.03,86.75,121.83,2015,0
10,who invited canada,2,Peter,The Dirty Diapers,4,unknown,116.4,97.37,106.34,78.47,2015,1
11,who invited canada,2,Peter,Lauren's Legit Team,6,Lauren,109.01,80.47,96.74,86.63,2015,0
12,who invited canada,2,Peter,John Brown's Army,8,Eric,111.76,114.17,73.36,76.0,2015,1
13,who invited canada,2,Peter,The fishingtons,10,Buddy,111.52,123.73,103.32,116.07,2015,1
15,who invited canada,2,Peter,Starr is Born,12,Nick,113.1,104.4,110.02,114.93,2015,0
16,who invited canada,2,Peter,The Ice Cold Bruschi,1,Ricky,111.14,83.27,97.43,95.0,2015,0
1,Jadeveon's Hit Men,3,Tim,The Ice Cold Bruschi,1,Ricky,94.97,100.87,105.32,123.8,2015,0
2,Jadeveon's Hit Men,3,Tim,Victor Cruisin,13,Frags,98.45,101.43,97.39,115.2,2015,0
3,Jadeveon's Hit Men,3,Tim,Immortal Duffmen,11,Pat,98.63,59.4,91.63,104.63,2015,0
4,Jadeveon's Hit Men,3,Tim,Thug Bungalow,5,Michael,84.76,89.83,103.65,92.37,2015,0
5,Jadeveon's Hit Men,3,Tim,Thunder Crotches,7,Jake,84.91,100.97,86.12,85.87,2015,1
6,Jadeveon's Hit Men,3,Tim,The Dirty Diapers,4,unknown,100.36,121.97,94.48,100.7,2015,1
7,Jadeveon's Hit Men,3,Tim,The Scientist,9,Kyle,101.53,127.9,95.77,119.23,2015,1
8,Jadeveon's Hit Men,3,Tim,Thunder Crotches,7,Jake,110.55,125.23,109.18,122.53,2015,1
9,Jadeveon's Hit Men,3,Tim,The Ice Cold Bruschi,1,Ricky,103.02,84.13,121.66,124.77,2015,0
10,Jadeveon's Hit Men,3,Tim,The fishingtons,10,Buddy,107.95,82.13,97.49,122.93,2015,0
11,Jadeveon's Hit Men,3,Tim,Thug Bungalow,5,Michael,94.93,94.33,94.56,73.07,2015,1
12,Jadeveon's Hit Men,3,Tim,Victor Cruisin,13,Frags,95.2,100.9,92.29,76.57,2015,1
13,Jadeveon's Hit Men,3,Tim,The Scientist,9,Kyle,100.41,67.83,105.16,95.53,2015,0
15,Jadeveon's Hit Men,3,Tim,Victor Cruisin,13,Frags,98.37,113.97,91.8,115.4,2015,0
16,Jadeveon's Hit Men,3,Tim,Immortal Duffmen,11,Pat,93.41,87.63,91.44,83.03,2015,1
1,The Dirty Diapers,4,unknown,who invited canada,2,Peter,101.02,110.17,101.61,107.3,2015,1
2,The Dirty Diapers,4,unknown,Kurtz' Horror,14,Jones,102.92,65.9,91.12,90.8,2015,0
3,The Dirty Diapers,4,unknown,Starr is Born,12,Nick,92.05,106.37,95.69,95.27,2015,1
4,The Dirty Diapers,4,unknown,Lauren's Legit Team,6,Lauren,102.4,97.0,101.77,77.43,2015,1
5,The Dirty Diapers,4,unknown,John Brown's Army,8,Eric,74.65,78.7,95.26,90.57,2015,0
6,The Dirty Diapers,4,unknown,Jadeveon's Hit Men,3,Tim,94.48,100.7,100.36,121.97,2015,0
7,The Dirty Diapers,4,unknown,The fishingtons,10,Buddy,91.56,83.93,94.67,119.2,2015,0
8,The Dirty Diapers,4,unknown,Starr is Born,12,Nick,94.48,104.3,91.77,82.9,2015,1
9,The Dirty Diapers,4,unknown,Kurtz' Horror,14,Jones,106.15,118.7,97.85,104.5,2015,1
10,The Dirty Diapers,4,unknown,who invited canada,2,Peter,106.34,78.47,116.4,97.37,2015,0
11,The Dirty Diapers,4,unknown,Immortal Duffmen,11,Pat,99.09,79.7,108.06,89.67,2015,0
12,The Dirty Diapers,4,unknown,Lauren's Legit Team,6,Lauren,98.03,118.47,98.99,84.4,2015,1
13,The Dirty Diapers,4,unknown,John Brown's Army,8,Eric,106.39,126.33,60.78,39.1,2015,1
15,The Dirty Diapers,4,unknown,Immortal Duffmen,11,Pat,95.25,112.07,94.61,72.13,2015,1
16,The Dirty Diapers,4,unknown,Victor Cruisin,13,Frags,92.63,101.23,90.83,129.8,2015,0
1,Thug Bungalow,5,Michael,Thunder Crotches,7,Jake,103.55,74.4,100.7,126.63,2015,0
2,Thug Bungalow,5,Michael,The Ice Cold Bruschi,1,Ricky,96.95,102.1,94.91,106.43,2015,0
3,Thug Bungalow,5,Michael,Victor Cruisin,13,Frags,101.03,165.5,107.66,138.6,2015,1
4,Thug Bungalow,5,Michael,Jadeveon's Hit Men,3,Tim,103.65,92.37,84.76,89.83,2015,1
5,Thug Bungalow,5,Michael,Lauren's Legit Team,6,Lauren,93.48,110.73,88.65,87.6,2015,1
6,Thug Bungalow,5,Michael,The Scientist,9,Kyle,108.64,102.9,105.61,81.7,2015,1
7,Thug Bungalow,5,Michael,Immortal Duffmen,11,Pat,80.66,84.4,89.53,111.43,2015,0
8,Thug Bungalow,5,Michael,John Brown's Army,8,Eric,103.66,106.67,94.15,87.23,2015,1
9,Thug Bungalow,5,Michael,Victor Cruisin,13,Frags,107.53,120.5,67.06,75.0,2015,1
10,Thug Bungalow,5,Michael,The Ice Cold Bruschi,1,Ricky,116.6,71.7,109.12,110.83,2015,0
11,Thug Bungalow,5,Michael,Jadeveon's Hit Men,3,Tim,94.56,73.07,94.93,94.33,2015,0
12,Thug Bungalow,5,Michael,Immortal Duffmen,11,Pat,109.26,111.03,94.76,86.23,2015,1
13,Thug Bungalow,5,Michael,Thunder Crotches,7,Jake,112.06,140.0,104.31,78.1,2015,1
14,Thug Bungalow,5,Michael,The fishingtons,10,Buddy,100.66,101.97,110.15,91.33,2015,1
15,Thug Bungalow,5,Michael,The Ice Cold Bruschi,1,Ricky,109.47,114.8,112.77,108.5,2015,1
16,Thug Bungalow,5,Michael,Starr is Born,12,Nick,103.23,104.63,108.18,105.43,2015,0
1,Lauren's Legit Team,6,Lauren,John Brown's Army,8,Eric,95.73,88.6,95.83,80.73,2015,1
2,Lauren's Legit Team,6,Lauren,who invited canada,2,Peter,92.74,83.2,95.88,101.77,2015,0
3,Lauren's Legit Team,6,Lauren,Kurtz' Horror,14,Jones,91.64,90.4,102.7,124.2,2015,0
4,Lauren's Legit Team,6,Lauren,The Dirty Diapers,4,unknown,101.77,77.43,102.4,97.0,2015,0
5,Lauren's Legit Team,6,Lauren,Thug Bungalow,5,Michael,88.65,87.6,93.48,110.73,2015,0
6,Lauren's Legit Team,6,Lauren,The fishingtons,10,Buddy,82.1,61.4,93.99,74.67,2015,0
7,Lauren's Legit Team,6,Lauren,Starr is Born,12,Nick,89.32,82.07,98.2,83.2,2015,0
8,Lauren's Legit Team,6,Lauren,The fishingtons,10,Buddy,82.71,89.93,98.09,108.2,2015,0
9,Lauren's Legit Team,6,Lauren,Starr is Born,12,Nick,95.59,57.3,95.28,121.4,2015,0
10,Lauren's Legit Team,6,Lauren,Kurtz' Horror,14,Jones,85.64,72.13,90.83,101.07,2015,0
11,Lauren's Legit Team,6,Lauren,who invited canada,2,Peter,96.74,86.63,109.01,80.47,2015,1
12,Lauren's Legit Team,6,Lauren,The Dirty Diapers,4,unknown,98.99,84.4,98.03,118.47,2015,0
13,Lauren's Legit Team,6,Lauren,Victor Cruisin,13,Frags,90.29,109.13,99.55,102.63,2015,1
1,Thunder Crotches,7,Jake,Thug Bungalow,5,Michael,100.7,126.63,103.55,74.4,2015,1
2,Thunder Crotches,7,Jake,The Scientist,9,Kyle,105.24,74.0,105.18,121.67,2015,0
3,Thunder Crotches,7,Jake,The Ice Cold Bruschi,1,Ricky,102.01,89.87,98.54,101.23,2015,0
4,Thunder Crotches,7,Jake,John Brown's Army,8,Eric,89.8,76.47,93.17,63.5,2015,1
5,Thunder Crotches,7,Jake,Jadeveon's Hit Men,3,Tim,86.12,85.87,84.91,100.97,2015,0
6,Thunder Crotches,7,Jake,Immortal Duffmen,11,Pat,101.19,137.8,85.01,83.13,2015,1
7,Thunder Crotches,7,Jake,Victor Cruisin,13,Frags,102.33,98.0,112.61,114.87,2015,0
8,Thunder Crotches,7,Jake,Jadeveon's Hit Men,3,Tim,109.18,122.53,110.55,125.23,2015,0
9,Thunder Crotches,7,Jake,Immortal Duffmen,11,Pat,103.26,124.5,92.35,103.47,2015,1
10,Thunder Crotches,7,Jake,Victor Cruisin,13,Frags,98.29,86.07,98.14,98.8,2015,0
11,Thunder Crotches,7,Jake,The Ice Cold Bruschi,1,Ricky,93.29,82.47,126.24,86.83,2015,0
12,Thunder Crotches,7,Jake,The Scientist,9,Kyle,106.15,93.5,96.27,87.2,2015,1
13,Thunder Crotches,7,Jake,Thug Bungalow,5,Michael,104.31,78.1,112.06,140.0,2015,0
14,Thunder Crotches,7,Jake,Victor Cruisin,13,Frags,93.83,87.77,95.69,121.6,2015,0
15,Thunder Crotches,7,Jake,Kurtz' Horror,14,Jones,95.99,127.77,104.62,94.0,2015,1
1,John Brown's Army,8,Eric,Lauren's Legit Team,6,Lauren,95.83,80.73,95.73,88.6,2015,0
2,John Brown's Army,8,Eric,The fishingtons,10,Buddy,93.83,116.43,100.12,112.97,2015,1
3,John Brown's Army,8,Eric,who invited canada,2,Peter,101.83,102.6,99.52,139.97,2015,0
4,John Brown's Army,8,Eric,Thunder Crotches,7,Jake,93.17,63.5,89.8,76.47,2015,0
5,John Brown's Army,8,Eric,The Dirty Diapers,4,unknown,95.26,90.57,74.65,78.7,2015,1
6,John Brown's Army,8,Eric,Starr is Born,12,Nick,96.98,87.87,98.37,101.5,2015,0
7,John Brown's Army,8,Eric,Kurtz' Horror,14,Jones,91.79,69.9,90.86,89.37,2015,0
8,John Brown's Army,8,Eric,Thug Bungalow,5,Michael,94.15,87.23,103.66,106.67,2015,0
9,John Brown's Army,8,Eric,The fishingtons,10,Buddy,57.15,46.07,99.8,119.1,2015,0
10,John Brown's Army,8,Eric,Starr is Born,12,Nick,99.65,90.87,99.81,103.23,2015,0
11,John Brown's Army,8,Eric,Kurtz' Horror,14,Jones,68.05,46.9,90.85,67.53,2015,0
12,John Brown's Army,8,Eric,who invited canada,2,Peter,73.36,76.0,111.76,114.17,2015,0
13,John Brown's Army,8,Eric,The Dirty Diapers,4,unknown,60.78,39.1,106.39,126.33,2015,0
1,The Scientist,9,Kyle,Immortal Duffmen,11,Pat,101.93,127.17,98.74,100.97,2015,1
2,The Scientist,9,Kyle,Thunder Crotches,7,Jake,105.18,121.67,105.24,74.0,2015,1
3,The Scientist,9,Kyle,The fishingtons,10,Buddy,103.64,74.63,98.77,80.8,2015,0
4,The Scientist,9,Kyle,The Ice Cold Bruschi,1,Ricky,107.05,84.53,102.49,113.67,2015,0
5,The Scientist,9,Kyle,Victor Cruisin,13,Frags,96.25,136.13,78.67,101.93,2015,1
6,The Scientist,9,Kyle,Thug Bungalow,5,Michael,105.61,81.7,108.64,102.9,2015,0
7,The Scientist,9,Kyle,Jadeveon's Hit Men,3,Tim,95.77,119.23,101.53,127.9,2015,0
8,The Scientist,9,Kyle,The Ice Cold Bruschi,1,Ricky,100.13,130.7,110.91,105.07,2015,1
