week,team_name,season_id,manager_name,opponent_team_name,opponent_season_id,opponent_name,projected_points_for,points_for,projected_points_against,points_against,season
6,b'The Dirty Diapers',4,--hidden--,"b""Jadeveon's Hit Men""",3,--hidden--,94.48,100.7,100.36,121.97,2015
7,b'The Dirty Diapers',4,--hidden--,b'The fishingtons',10,--hidden--,91.56,83.93,94.67,119.2,2015
8,b'The Dirty Diapers',4,--hidden--,b'Starr is Born',12,--hidden--,94.48,104.3,91.77,82.9,2015
9,b'The Dirty Diapers',4,--hidden--,"b""Kurtz' Horror""",14,--hidden--,106.15,118.7,97.85,104.5,2015
10,b'The Dirty Diapers',4,--hidden--,b'who invited canada',2,--hidden--,106.34,78.47,116.4,97.37,2015
11,b'The Dirty Diapers',4,--hidden--,b'Immortal Duffmen',11,--hidden--,99.09,79.7,108.06,89.67,2015
12,b'The Dirty Diapers',4,--hidden--,"b""Lauren's Legit Team""",6,--hidden--,98.03,118.47,98.99,84.4,2015
13,b'The Dirty Diapers',4,--hidden--,"b""John Brown's Army""",8,--hidden--,106.39,126.33,60.78,39.1,2015
15,b'The Dirty Diapers',4,--hidden--,b'Immortal Duffmen',11,--hidden--,95.25,112.07,94.61,72.13,2015
16,b'The Dirty Diapers',4,--hidden--,b'Victor Cruisin',13,--hidden--,92.63,101.23,90.83,129.8,2015
1,b'Thug Bungalow',5,--hidden--,b'Thunder Crotches',7,--hidden--,103.55,74.4,100.7,126.63,2015
2,b'Thug Bungalow',5,--hidden--,b'The Ice Cold Bruschi',1,--hidden--,96.95,102.1,94.91,106.43,2015
3,b'Thug Bungalow',5,--hidden--,b'Victor Cruisin',13,--hidden--,101.03,165.5,107.66,138.6,2015
4,b'Thug Bungalow',5,--hidden--,"b""Jadeveon's Hit Men""",3,--hidden--,103.65,92.37,84.76,89.83,2015
5,b'Thug Bungalow',5,--hidden--,"b""Lauren's Legit Team""",6,--hidden--,93.48,110.73,88.65,87.6,2015
6,b'Thug Bungalow',5,--hidden--,b'The Scientist',9,--hidden--,108.64,102.9,105.61,81.7,2015
7,b'Thug Bungalow',5,--hidden--,b'Immortal Duffmen',11,--hidden--,80.66,84.4,89.53,111.43,2015
8,b'Thug Bungalow',5,--hidden--,"b""John Brown's Army""",8,--hidden--,103.66,106.67,94.15,87.23,2015
9,b'Thug Bungalow',5,--hidden--,b'Victor Cruisin',13,--hidden--,107.53,120.5,67.06,75.0,2015
10,b'Thug Bungalow',5,--hidden--,b'The Ice Cold Bruschi',1,--hidden--,116.6,71.7,109.12,110.83,2015
11,b'Thug Bungalow',5,--hidden--,"b""Jadeveon's Hit Men""",3,--hidden--,94.56,73.07,94.93,94.33,2015
12,b'Thug Bungalow',5,--hidden--,b'Immortal Duffmen',11,--hidden--,109.26,111.03,94.76,86.23,2015
13,b'Thug Bungalow',5,--hidden--,b'Thunder Crotches',7,--hidden--,112.06,140.0,104.31,78.1,2015
14,b'Thug Bungalow',5,--hidden--,b'The fishingtons',10,--hidden--,100.66,101.97,110.15,91.33,2015
15,b'Thug Bungalow',5,--hidden--,b'The Ice Cold Bruschi',1,--hidden--,109.47,114.8,112.77,108.5,2015
16,b'Thug Bungalow',5,--hidden--,b'Starr is Born',12,--hidden--,103.23,104.63,108.18,105.43,2015
1,"b""Lauren's Legit Team""",6,--hidden--,"b""John Brown's Army""",8,--hidden--,95.73,88.6,95.83,80.73,2015
2,"b""Lauren's Legit Team""",6,--hidden--,b'who invited canada',2,--hidden--,92.74,83.2,95.88,101.77,2015
3,"b""Lauren's Legit Team""",6,--hidden--,"b""Kurtz' Horror""",14,--hidden--,91.64,90.4,102.7,124.2,2015
4,"b""Lauren's Legit Team""",6,--hidden--,b'The Dirty Diapers',4,--hidden--,101.77,77.43,102.4,97.0,2015
5,"b""Lauren's Legit Team""",6,--hidden--,b'Thug Bungalow',5,--hidden--,88.65,87.6,93.48,110.73,2015
6,"b""Lauren's Legit Team""",6,--hidden--,b'The fishingtons',10,--hidden--,82.1,61.4,93.99,74.67,2015
7,"b""Lauren's Legit Team""",6,--hidden--,b'Starr is Born',12,--hidden--,89.32,82.07,98.2,83.2,2015
8,"b""Lauren's Legit Team""",6,--hidden--,b'The fishingtons',10,--hidden--,82.71,89.93,98.09,108.2,2015
9,"b""Lauren's Legit Team""",6,--hidden--,b'Starr is Born',12,--hidden--,95.59,57.3,95.28,121.4,2015
10,"b""Lauren's Legit Team""",6,--hidden--,"b""Kurtz' Horror""",14,--hidden--,85.64,72.13,90.83,101.07,2015
11,"b""Lauren's Legit Team""",6,--hidden--,b'who invited canada',2,--hidden--,96.74,86.63,109.01,80.47,2015
12,"b""Lauren's Legit Team""",6,--hidden--,b'The Dirty Diapers',4,--hidden--,98.99,84.4,98.03,118.47,2015
13,"b""Lauren's Legit Team""",6,--hidden--,b'Victor Cruisin',13,--hidden--,90.29,109.13,99.55,102.63,2015
1,b'Thunder Crotches',7,--hidden--,b'Thug Bungalow',5,--hidden--,100.7,126.63,103.55,74.4,2015
2,b'Thunder Crotches',7,--hidden--,b'The Scientist',9,--hidden--,105.24,74.0,105.18,121.67,2015
3,b'Thunder Crotches',7,--hidden--,b'The Ice Cold Bruschi',1,--hidden--,102.01,89.87,98.54,101.23,2015
4,b'Thunder Crotches',7,--hidden--,"b""John Brown's Army""",8,--hidden--,89.8,76.47,93.17,63.5,2015
5,b'Thunder Crotches',7,--hidden--,"b""Jadeveon's Hit Men""",3,--hidden--,86.12,85.87,84.91,100.97,2015
6,b'Thunder Crotches',7,--hidden--,b'Immortal Duffmen',11,--hidden--,101.19,137.8,85.01,83.13,2015
7,b'Thunder Crotches',7,--hidden--,b'Victor Cruisin',13,--hidden--,102.33,98.0,112.61,114.87,2015
8,b'Thunder Crotches',7,--hidden--,"b""Jadeveon's Hit Men""",3,--hidden--,109.18,122.53,110.55,125.23,2015
9,b'Thunder Crotches',7,--hidden--,b'Immortal Duffmen',11,--hidden--,103.26,124.5,92.35,103.47,2015
10,b'Thunder Crotches',7,--hidden--,b'Victor Cruisin',13,--hidden--,98.29,86.07,98.14,98.8,2015
11,b'Thunder Crotches',7,--hidden--,b'The Ice Cold Bruschi',1,--hidden--,93.29,82.47,126.24,86.83,2015
12,b'Thunder Crotches',7,--hidden--,b'The Scientist',9,--hidden--,106.15,93.5,96.27,87.2,2015
13,b'Thunder Crotches',7,--hidden--,b'Thug Bungalow',5,--hidden--,104.31,78.1,112.06,140.0,2015
14,b'Thunder Crotches',7,--hidden--,b'Victor Cruisin',13,--hidden--,93.83,87.77,95.69,121.6,2015
15,b'Thunder Crotches',7,--hidden--,"b""Kurtz' Horror""",14,--hidden--,95.99,127.77,104.62,94.0,2015
1,"b""John Brown's Army""",8,--hidden--,"b""Lauren's Legit Team""",6,--hidden--,95.83,80.73,95.73,88.6,2015
2,"b""John Brown's Army""",8,--hidden--,b'The fishingtons',10,--hidden--,93.83,116.43,100.12,112.97,2015
3,"b""John Brown's Army""",8,--hidden--,b'who invited canada',2,--hidden--,101.83,102.6,99.52,139.97,2015
4,"b""John Brown's Army""",8,--hidden--,b'Thunder Crotches',7,--hidden--,93.17,63.5,89.8,76.47,2015
5,"b""John Brown's Army""",8,--hidden--,b'The Dirty Diapers',4,--hidden--,95.26,90.57,74.65,78.7,2015
6,"b""John Brown's Army""",8,--hidden--,b'Starr is Born',12,--hidden--,96.98,87.87,98.37,101.5,2015
7,"b""John Brown's Army""",8,--hidden--,"b""Kurtz' Horror""",14,--hidden--,91.79,69.9,90.86,89.37,2015
8,"b""John Brown's Army""",8,--hidden--,b'Thug Bungalow',5,--hidden--,94.15,87.23,103.66,106.67,2015
9,"b""John Brown's Army""",8,--hidden--,b'The fishingtons',10,--hidden--,57.15,46.07,99.8,119.1,2015
10,"b""John Brown's Army""",8,--hidden--,b'Starr is Born',12,--hidden--,99.65,90.87,99.81,103.23,2015
11,"b""John Brown's Army""",8,--hidden--,"b""Kurtz' Horror""",14,--hidden--,68.05,46.9,90.85,67.53,2015
12,"b""John Brown's Army""",8,--hidden--,b'who invited canada',2,--hidden--,73.36,76.0,111.76,114.17,2015
13,"b""John Brown's Army""",8,--hidden--,b'The Dirty Diapers',4,--hidden--,60.78,39.1,106.39,126.33,2015
1,b'The Scientist',9,--hidden--,b'Immortal Duffmen',11,--hidden--,101.93,127.17,98.74,100.97,2015
2,b'The Scientist',9,--hidden--,b'Thunder Crotches',7,--hidden--,105.18,121.67,105.24,74.0,2015
3,b'The Scientist',9,--hidden--,b'The fishingtons',10,--hidden--,103.64,74.63,98.77,80.8,2015
4,b'The Scientist',9,--hidden--,b'The Ice Cold Bruschi',1,--hidden--,107.05,84.53,102.49,113.67,2015
5,b'The Scientist',9,--hidden--,b'Victor Cruisin',13,--hidden--,96.25,136.13,78.67,101.93,2015
6,b'The Scientist',9,--hidden--,b'Thug Bungalow',5,--hidden--,105.61,81.7,108.64,102.9,2015
7,b'The Scientist',9,--hidden--,"b""Jadeveon's Hit Men""",3,--hidden--,95.77,119.23,101.53,127.9,2015
8,b'The Scientist',9,--hidden--,b'The Ice Cold Bruschi',1,--hidden--,100.13,130.7,110.91,105.07,2015
9,b'The Scientist',9,--hidden--,b'who invited canada',2,--hidden--,86.75,121.83,110.41,105.03,2015
10,b'The Scientist',9,--hidden--,b'Immortal Duffmen',11,--hidden--,102.59,134.67,97.43,79.2,2015
11,b'The Scientist',9,--hidden--,b'Victor Cruisin',13,--hidden--,104.17,52.73,80.36,92.43,2015
12,b'The Scientist',9,--hidden--,b'Thunder Crotches',7,--hidden--,96.27,87.2,106.15,93.5,2015
