week,team_name,season_id,manager_name,opponent_team_name,opponent_season_id,opponent_name,projected_points_for,points_for,projected_points_against,points_against,inverse_matchup
5,b'Starr is Born',6,Nick,b'The Ice Cold Bruschi',1,Ricky,127.76,150.66,145.99,120.64,1
5,b'Immortal Duffmen',2,PD,b'Saquon These Nuts',5,matt,133.39,102.5,139.24,185.92,0
5,b'Saquon These Nuts',5,matt,b'Immortal Duffmen',2,PD,139.24,185.92,133.39,102.5,1
5,"b""Jadeveon's Hit Men""",3,Tim,"b""John Brown's Army""",4,Eric,142.1,142.34,142.53,140.1,0
5,"b""John Brown's Army""",4,Eric,"b""Jadeveon's Hit Men""",3,Tim,142.53,140.1,142.1,142.34,1
5,b'SuperCam That Ho',7,Lauren,"b""We're Back""",13,Nate,119.27,135.64,131.16,150.2,0
5,"b""We're Back""",13,Nate,b'SuperCam That Ho',7,Lauren,131.16,150.2,119.27,135.64,1
5,b'The fishingtons',8,mike,b'Thunder Crotches',12,Jake,129.51,151.02,123.14,130.32,0
5,b'Thunder Crotches',12,Jake,b'The fishingtons',8,mike,123.14,130.32,129.51,151.02,1
5,b'The Scientist',9,Kyle,b'Thug Bungalow',11,Mike,116.55,110.9,130.15,144.48,0
5,b'Thug Bungalow',11,Mike,b'The Scientist',9,Kyle,130.15,144.48,116.55,110.9,1
5,b'The Twelve Apostles',10,Matt Jones,b'who invited canada',14,Peter,124.71,166.22,122.31,137.34,0
5,b'who invited canada',14,Peter,b'The Twelve Apostles',10,Matt Jones,122.31,137.34,124.71,166.22,1
6,b'The Ice Cold Bruschi',1,Ricky,b'SuperCam That Ho',7,Lauren,136.33,135.24,120.78,123.22,0
6,b'SuperCam That Ho',7,Lauren,b'The Ice Cold Bruschi',1,Ricky,120.78,123.22,136.33,135.24,1
6,b'Immortal Duffmen',2,PD,b'Starr is Born',6,Nick,130.96,188.74,112.36,113.3,0
6,b'Starr is Born',6,Nick,b'Immortal Duffmen',2,PD,112.36,113.3,130.96,188.74,1
6,"b""Jadeveon's Hit Men""",3,Tim,b'Saquon These Nuts',5,matt,137.81,165.6,126.54,140.96,0
6,b'Saquon These Nuts',5,matt,"b""Jadeveon's Hit Men""",3,Tim,126.54,140.96,137.81,165.6,1
6,"b""John Brown's Army""",4,Eric,b'who invited canada',14,Peter,148.44,165.52,136.9,144.0,0
6,b'who invited canada',14,Peter,"b""John Brown's Army""",4,Eric,136.9,144.0,148.44,165.52,1
6,b'The fishingtons',8,mike,"b""We're Back""",13,Nate,131.25,125.82,146.27,119.92,0
6,"b""We're Back""",13,Nate,b'The fishingtons',8,mike,146.27,119.92,131.25,125.82,1
6,b'The Scientist',9,Kyle,b'Thunder Crotches',12,Jake,114.02,99.06,112.81,83.62,0
6,b'Thunder Crotches',12,Jake,b'The Scientist',9,Kyle,112.81,83.62,114.02,99.06,1
6,b'The Twelve Apostles',10,Matt Jones,b'Thug Bungalow',11,Mike,135.24,128.3,130.4,107.14,0
6,b'Thug Bungalow',11,Mike,b'The Twelve Apostles',10,Matt Jones,130.4,107.14,135.24,128.3,1
7,b'The Ice Cold Bruschi',1,Ricky,b'The fishingtons',8,mike,139.01,102.52,124.44,135.26,0
7,b'The fishingtons',8,mike,b'The Ice Cold Bruschi',1,Ricky,124.44,135.26,139.01,102.52,1
7,b'Immortal Duffmen',2,PD,b'SuperCam That Ho',7,Lauren,131.32,102.96,102.19,81.14,0
7,b'SuperCam That Ho',7,Lauren,b'Immortal Duffmen',2,PD,102.19,81.14,131.32,102.96,1
7,"b""Jadeveon's Hit Men""",3,Tim,b'Starr is Born',6,Nick,127.04,125.12,126.92,152.96,0
7,b'Starr is Born',6,Nick,"b""Jadeveon's Hit Men""",3,Tim,126.92,152.96,127.04,125.12,1
7,"b""John Brown's Army""",4,Eric,b'Saquon These Nuts',5,matt,152.45,124.14,135.5,93.36,0
7,b'Saquon These Nuts',5,matt,"b""John Brown's Army""",4,Eric,135.5,93.36,152.45,124.14,1
7,b'The Scientist',9,Kyle,"b""We're Back""",13,Nate,128.07,119.52,122.72,105.52,0
7,"b""We're Back""",13,Nate,b'The Scientist',9,Kyle,122.72,105.52,128.07,119.52,1
7,b'The Twelve Apostles',10,Matt Jones,b'Thunder Crotches',12,Jake,134.85,121.54,112.54,115.56,0
7,b'Thunder Crotches',12,Jake,b'The Twelve Apostles',10,Matt Jones,112.54,115.56,134.85,121.54,1
7,b'Thug Bungalow',11,Mike,b'who invited canada',14,Peter,119.71,85.24,132.51,101.16,0
7,b'who invited canada',14,Peter,b'Thug Bungalow',11,Mike,132.51,101.16,119.71,85.24,1
8,b'The Ice Cold Bruschi',1,Ricky,b'The Scientist',9,Kyle,139.06,165.66,124.65,164.82,0
