clinched_playoffs,division_id,draft_grade,draft_position,draft_recap_url,faab_balance,has_draft_grade,league_scoring_type,name,number_of_moves,number_of_trades,team_id,team_key,url,waiver_priority,season,managers.manager,roster_adds.coverage_type,roster_adds.coverage_value,roster_adds.value,team_logos.team_logo,team_points.coverage_type,team_points.season,team_points.total,team_standings.divisional_outcome_totals.losses,team_standings.divisional_outcome_totals.ties,team_standings.divisional_outcome_totals.wins,team_standings.outcome_totals.losses,team_standings.outcome_totals.percentage,team_standings.outcome_totals.ties,team_standings.outcome_totals.wins,team_standings.playoff_seed,team_standings.points_against,team_standings.points_for,team_standings.rank,team_standings.streak.type,team_standings.streak.value,is_owned_by_current_login
,1.0,B,2.0,https://football.fantasysports.yahoo.com/2015/f1/853925/7/draftrecap,25,1,head,b'Thunder Crotches',23,1,7,348.l.853925.t.7,https://football.fantasysports.yahoo.com/2015/f1/853925/7,4,2015,"Manager({
  ""felo_score"": 622,
  ""felo_tier"": ""silver"",
  ""guid"": ""QQ55LWU6E5JC3VLOC4YLR4ERME"",
  ""image_url"": ""https://s.yimg.com/ag/images/default_user_profile_pic_64sq.jpg"",
  ""manager_id"": 7,
  ""nickname"": ""Jake""
})",week,17,0,"TeamLogo({
  ""size"": ""large"",
  ""url"": ""https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/25212692992_7524090cb0.jpg""
})",season,2015,1275.81,8.0,0.0,4.0,8,0.385,0,5,11.0,1301.3,1275.81,11,loss,1,
,2.0,B+,1.0,https://football.fantasysports.yahoo.com/2015/f1/853925/14/draftrecap,0,1,head,"b""Kurtz' Horror""",12,1,14,348.l.853925.t.14,https://football.fantasysports.yahoo.com/2015/f1/853925/14,6,2015,"Manager({
  ""felo_score"": 527,
  ""felo_tier"": ""bronze"",
  ""guid"": ""7RGUFN54OGM3YX5YNBB6JMEPCA"",
  ""image_url"": ""https://s.yimg.com/ag/images/4541/25163236808_6f42ac_64sq.jpg"",
  ""manager_id"": 14,
  ""nickname"": ""Matt Jones""
})",week,17,0,"TeamLogo({
  ""size"": ""large"",
  ""url"": ""https://s.yimg.com/cv/apiv2/default/nfl/nfl_11.png""
})",season,2015,1146.6,7.0,0.0,5.0,7,0.462,0,6,9.0,1196.89,1146.6,12,loss,2,
,2.0,C,4.0,https://football.fantasysports.yahoo.com/2015/f1/853925/6/draftrecap,45,1,head,"b""Lauren's Legit Team""",13,1,6,348.l.853925.t.6,https://football.fantasysports.yahoo.com/2015/f1/853925/6,2,2015,"Manager({
  ""felo_score"": 527,
  ""felo_tier"": ""bronze"",
  ""guid"": ""P6DPCCZF3N36UIJH7KYG3DOG4M"",
  ""image_url"": ""https://s.yimg.com/ag/images/default_user_profile_pic_64sq.jpg"",
  ""manager_id"": 6,
  ""nickname"": ""Lauren""
})",week,17,0,"TeamLogo({
  ""size"": ""large"",
  ""url"": ""https://s.yimg.com/cv/apiv2/default/nfl/nfl_10.png""
})",season,2015,1070.22,9.0,0.0,2.0,10,0.231,0,3,,1304.54,1070.22,13,win,1,
,2.0,B,8.0,https://football.fantasysports.yahoo.com/2015/f1/853925/8/draftrecap,50,1,head,"b""John Brown's Army""",4,0,8,348.l.853925.t.8,https://football.fantasysports.yahoo.com/2015/f1/853925/8,1,2015,"Manager({
  ""felo_score"": 567,
  ""felo_tier"": ""bronze"",
  ""guid"": ""HLYYB5KPQ3TXP4GMCKTNL7PY4U"",
  ""image_url"": ""https://s.yimg.com/ag/images/default_user_profile_pic_64sq.jpg"",
  ""manager_id"": 8,
  ""nickname"": ""Eric""
})",week,17,0,"TeamLogo({
  ""size"": ""large"",
  ""url"": ""https://s.yimg.com/cv/apiv2/default/nfl/nfl_4.png""
})",season,2015,997.77,9.0,0.0,2.0,11,0.154,0,2,,1324.6100000000001,997.77,14,loss,8,
1.0,,D,5.0,https://football.fantasysports.yahoo.com/2016/f1/810238/8/draftrecap,37,1,head,b'The fishingtons',21,0,8,359.l.810238.t.8,https://football.fantasysports.yahoo.com/2016/f1/810238/8,14,2016,"Manager({
  ""felo_score"": 847,
  ""felo_tier"": ""platinum"",
  ""guid"": ""YYVP5ZVV2OWTUYFIJFGXOVDODY"",
  ""image_url"": ""https://s.yimg.com/ag/images/4577/38998536422_a0c559_64sq.jpg"",
  ""manager_id"": 8,
  ""nickname"": ""mike""
})",week,17,0,"TeamLogo({
  ""size"": ""large"",
  ""url"": ""https://s.yimg.com/cv/apiv2/default/nfl/nfl_6.png""
})",season,2016,1318.91,,,,3,0.769,0,10,1.0,1158.3400000000001,1318.91,1,win,1,
1.0,,B-,6.0,https://football.fantasysports.yahoo.com/2016/f1/810238/6/draftrecap,45,1,head,b'SuperCam That Ho',16,0,6,359.l.810238.t.6,https://football.fantasysports.yahoo.com/2016/f1/810238/6,13,2016,"Manager({
  ""felo_score"": 555,
  ""felo_tier"": ""bronze"",
  ""guid"": ""P6DPCCZF3N36UIJH7KYG3DOG4M"",
  ""image_url"": ""https://s.yimg.com/ag/images/default_user_profile_pic_64sq.jpg"",
  ""manager_id"": 6,
  ""nickname"": ""Lauren""
})",week,17,0,"TeamLogo({
  ""size"": ""large"",
  ""url"": ""https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/29030871280_78c2eac8d1.jpg""
})",season,2016,1240.91,,,,4,0.692,0,9,2.0,1179.1899999999998,1240.91,2,loss,1,
1.0,,D+,12.0,https://football.fantasysports.yahoo.com/2016/f1/810238/9/draftrecap,0,1,head,b'The Scientist',39,0,9,359.l.810238.t.9,https://football.fantasysports.yahoo.com/2016/f1/810238/9,10,2016,"Manager({
  ""felo_score"": 740,
  ""felo_tier"": ""gold"",
  ""guid"": ""RN5O32YPZSZDB4FX5ZUV5YOENE"",
  ""image_url"": ""https://s.yimg.com/ag/images/4682/37719466143_3d2115_64sq.jpg"",
  ""manager_id"": 9,
  ""nickname"": ""Kyle""
})",week,17,0,"TeamLogo({
  ""size"": ""large"",
  ""url"": ""https://s.yimg.com/cv/apiv2/default/nfl/nfl_8.png""
})",season,2016,1317.24,,,,5,0.615,0,8,5.0,1267.6100000000001,1317.24,3,win,7,
1.0,,B,8.0,https://football.fantasysports.yahoo.com/2016/f1/810238/14/draftrecap,85,1,head,"b""We're Back""",7,0,14,359.l.810238.t.14,https://football.fantasysports.yahoo.com/2016/f1/810238/14,9,2016,"Manager({
  ""felo_score"": 597,
  ""felo_tier"": ""bronze"",
  ""guid"": ""LV7TOCSXSMT57HTI7Y6ZE76JFE"",
  ""image_url"": ""https://s.yimg.com/ag/images/default_user_profile_pic_64sq.jpg"",
  ""manager_id"": 14,
  ""nickname"": ""Nate""
})",week,17,0,"TeamLogo({
  ""size"": ""large"",
  ""url"": ""https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/28608958973_a1d1171a85.jpg""
})",season,2016,1198.14,,,,5,0.615,0,8,6.0,1208.51,1198.14,4,win,1,
1.0,,B-,2.0,https://football.fantasysports.yahoo.com/2016/f1/810238/13/draftrecap,0,1,head,b'who invited canada',50,0,13,359.l.810238.t.13,https://football.fantasysports.yahoo.com/2016/f1/810238/13,11,2016,"Manager({
  ""felo_score"": 765,
  ""felo_tier"": ""gold"",
  ""guid"": ""3PGSNJHQVI64SC542EWTA2WWNQ"",
  ""image_url"": ""https://s.yimg.com/ag/images/4594/38094624950_d27a12_64sq.jpg"",
  ""manager_id"": 13,
  ""nickname"": ""Peter""
})",week,17,0,"TeamLogo({
  ""size"": ""large"",
  ""url"": ""https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/24996767240_023cabaf10.jpg""
})",season,2016,1368.5,,,,5,0.615,0,8,4.0,1341.0,1368.5,5,win,2,
1.0,,B,7.0,https://football.fantasysports.yahoo.com/2016/f1/810238/1/draftrecap,0,1,head,b'The Ice Cold Bruschi',62,1,1,359.l.810238.t.1,https://football.fantasysports.yahoo.com/2016/f1/810238/1,12,2016,"Manager({
  ""felo_score"": 780,
  ""felo_tier"": ""gold"",
  ""guid"": ""AH4HVFPFUWABOULTM3I26IVX44"",
  ""image_url"": ""https://s.yimg.com/ag/images/default_user_profile_pic_64sq.jpg"",
  ""is_commissioner"": 0,
  ""manager_id"": 1,
  ""nickname"": ""Ricky""
})",week,17,0,"TeamLogo({
  ""size"": ""large"",
  ""url"": ""https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/29131856121_7f0b5a8207.jpg""
})",season,2016,1507.68,,,,5,0.615,0,8,3.0,1257.05,1507.68,6,loss,2,
